start_date,pollster,politician,tot_favorable
2019-06-20,Morning Consult,Bernie Sanders,88.0
2019-06-20,Morning Consult,Elizabeth Warren,64.0
2019-06-20,Morning Consult,Donald Trump,40.0
2019-06-20,Morning Consult,Michael Bennet,16.0
2019-06-20,Morning Consult,Pete Buttigieg,46.0
2019-06-20,Morning Consult,John Delaney,14.0
2019-06-20,Morning Consult,Tulsi Gabbard,24.0
2019-06-20,Morning Consult,Amy Klobuchar,34.0
2019-06-20,Morning Consult,Andrew Yang,24.0
2019-06-16,YouGov,Elizabeth Warren,84.0
2019-06-16,YouGov,Donald Trump,90.0
2019-06-16,YouGov,Michael Bennet,30.0
2019-06-16,YouGov,Pete Buttigieg,66.0
2019-06-16,YouGov,John Delaney,26.0
2019-06-16,YouGov,Tulsi Gabbard,32.0
2019-06-16,YouGov,Amy Klobuchar,56.0
2019-06-16,YouGov,Andrew Yang,36.0
2019-06-16,YouGov,Bernie Sanders,86.0
2019-06-16,YouGov,Joe Biden,88.0
2019-06-14,Morning Consult,Donald Trump,41.0
2019-06-11,Suffolk University,Donald Trump,46.0
2019-06-09,YouGov,Donald Trump,90.0
2019-06-09,YouGov,Michael Bennet,30.0
2019-06-09,YouGov,Pete Buttigieg,70.0
2019-06-09,YouGov,John Delaney,24.0
2019-06-09,YouGov,Tulsi Gabbard,34.0
